№;Позиции;Кол-во;Номинал;Корпус;Описание
1;BA1;1;Динамик 8 Ом;Динамик Ø40;Динамик или наушники
2;BQ1;1;11,0592 МГц;Кварц HC-49;Кварц 11,0592 МГц
3;C1, C15;2;100 нФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
4;C2;1;33 нФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
5;C6;1;0,47 мкФ*;Конденсатор;Резонансный конденсатор катушки TX (подбирается под частоту)
6;C7;1;2,2 нФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
7;C8;1;1 мкФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
8;C9, C19, C27, C32;4;100 нФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
9;C10;1;47 пФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
10;C11;1;2200 мкФ × 10 В;Электролит;Электролит, шаг 3,81 мм — как на плате DesAlex
11;C13;1;1500 мкФ × 10 В;Электролит;Электролит, шаг 4,00 мм — как на плате DesAlex
12;C14;1;2200 мкФ × 10 В;Электролит;Электролит, шаг 4,00 мм — как на плате DesAlex
13;C16;1;10 нФ;Конденсатор;Конденсатор, шаг 6,35 мм — как на плате DesAlex
14;C18, C21;2;22 пФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
15;C22;1;470 нФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
16;C23;1;10 нФ;Конденсатор;Конденсатор, шаг 5,00 мм — как на плате DesAlex
17;C33, C34;2;1000 мкФ × 16 В;Электролит;Электролит, шаг 5,08 мм — как на плате DesAlex
18;C35;1;33 нФ;Диск Ø5, 2,5;Конденсатор контура RX — на выводах катушки
19;D1;1;1N4148;Диод;Диод, шаг 5,08 мм — как на плате DesAlex
20;D3, D4, D6;3;1N4148;Диод;Диод, шаг 5,08 мм — как на плате DesAlex
21;GB1;1;12 В;Аккумулятор на проводах;Аккумулятор 12 В (8 элементов NiMH или 3 Li-ion)
22;HG1;1;LCD 1602;LCD 1602;"Символьный ЖК 16×2 на HD44780, подключён по 4 проводам данных; RW и V0 — на общий провод"
23;L1;1;100 мкГн;Дроссель;Дроссель, шаг 7,62 мм — как на плате DesAlex
24;L2;1;100 мкГн;Дроссель;Фильтр питания АЦП (AVCC)
25;L3;1;DD Ø230;Катушка DD Ø230;Катушка DD: TX в последовательном резонансе с C6, RX — в параллельном с C35, настроена на 1,5–2 кГц ниже TX
26;Q2, Q4;2;C945;TO-92 треугольником;TO-92 треугольником, 3 выв. — как на плате DesAlex
